"","Kommunenummer","Kommunenavn","Formueskatt","Helsefagarbeidere","Sykepleiere","Land","Sted"
"277","1804","Bodø",140670000,182,159,"Norge","Bodø, Norge"
"278","1806","Narvik",27520000,36,31,"Norge","Narvik, Norge"
"279","1811","Bindal",4537000,6,5,"Norge","Bindal, Norge"
"280","1812","Sømna",2402000,3,3,"Norge","Sømna, Norge"
"281","1813","Brønnøy",24536000,32,28,"Norge","Brønnøy, Norge"
"282","1815","Vega",1656000,2,2,"Norge","Vega, Norge"
"283","1816","Vevelstad",637000,1,1,"Norge","Vevelstad, Norge"
"284","1818","Herøy (Nordland)",8034000,10,9,"Norge","Herøy (Nordland), Norge"
"285","1820","Alstahaug",10621000,14,12,"Norge","Alstahaug, Norge"
"286","1822","Leirfjord",2704000,3,3,"Norge","Leirfjord, Norge"
"287","1824","Vefsn",23096000,30,26,"Norge","Vefsn, Norge"
"288","1825","Grane",2048000,3,2,"Norge","Grane, Norge"
"289","1826","Aarborte - Hattfjelldal",1490000,2,2,"Norge","Aarborte - Hattfjelldal, Norge"
"290","1827","Dønna",7959000,10,9,"Norge","Dønna, Norge"
"291","1828","Nesna",3427000,4,4,"Norge","Nesna, Norge"
"292","1832","Hemnes",3579000,5,4,"Norge","Hemnes, Norge"
"293","1833","Rana - Raane",35826000,46,40,"Norge","Rana - Raane, Norge"
"294","1834","Lurøy",15781000,20,18,"Norge","Lurøy, Norge"
"295","1835","Træna",1108000,1,1,"Norge","Træna, Norge"
"296","1836","Rødøy",1802000,2,2,"Norge","Rødøy, Norge"
"297","1837","Meløy",7839000,10,9,"Norge","Meløy, Norge"
"298","1838","Gildeskål",2074000,3,2,"Norge","Gildeskål, Norge"
"299","1839","Beiarn",1056000,1,1,"Norge","Beiarn, Norge"
"300","1840","Saltdal",7008000,9,8,"Norge","Saltdal, Norge"
"301","1841","Fauske - Fuossko",12887000,17,15,"Norge","Fauske - Fuossko, Norge"
"302","1845","Sørfold - Fuolldá",1850000,2,2,"Norge","Sørfold - Fuolldá, Norge"
"303","1848","Steigen",5415000,7,6,"Norge","Steigen, Norge"
"304","1851","Lødingen",3571000,5,4,"Norge","Lødingen, Norge"
"305","1853","Evenes - Evenássi",1249000,2,1,"Norge","Evenes - Evenássi, Norge"
"306","1856","Røst",1912000,2,2,"Norge","Røst, Norge"
"307","1857","Værøy",3688000,5,4,"Norge","Værøy, Norge"
"308","1859","Flakstad",2682000,3,3,"Norge","Flakstad, Norge"
"309","1860","Vestvågøy",26764000,35,30,"Norge","Vestvågøy, Norge"
"310","1865","Vågan",30902000,40,35,"Norge","Vågan, Norge"
"311","1866","Hadsel",48848000,63,55,"Norge","Hadsel, Norge"
"312","1867","Bø (Nordland)",12549000,16,14,"Norge","Bø (Nordland), Norge"
"313","1868","Øksnes",9938000,13,11,"Norge","Øksnes, Norge"
"314","1870","Sortland - Suortá",30371000,39,34,"Norge","Sortland - Suortá, Norge"
"315","1871","Andøy",8051000,10,9,"Norge","Andøy, Norge"
"316","1874","Moskenes",3070000,4,3,"Norge","Moskenes, Norge"
"317","1875","Hábmer - Hamarøy",3141000,4,4,"Norge","Hábmer - Hamarøy, Norge"
"318","5401","Tromsø",195956000,253,221,"Norge","Tromsø, Norge"
"319","5402","Harstad - Hárstták",50036000,65,57,"Norge","Harstad - Hárstták, Norge"
"320","5403","Alta",38004000,49,43,"Norge","Alta, Norge"
"321","5404","Vardø",2150000,3,2,"Norge","Vardø, Norge"
"322","5405","Vadsø",6882000,9,8,"Norge","Vadsø, Norge"
"323","5406","Hammerfest - Hámmerfeasta",12589000,16,14,"Norge","Hammerfest - Hámmerfeasta, Norge"
